Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Jalen Hurts,W (Dec 23),1,9,43.82,38%,17,1,338,3,0,11,63,1,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Marcus Mariota,W (Dec 23),1,6,27.84,1%,1058,10,226,1,1,9,88,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Finley,W (Dec 23),1,9,20.26,0%,69,28,89,1,0,10,47,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,W (Dec 23),1,8,19.94,12%,26,30,226,2,0,2,9,0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,W (Dec 23),1,9,19.26,78%,12,32,209,2,1,1,9,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tua Tagovailoa,W (Dec 23),1,7,18.7,21%,29,33,145,0,1,3,9,2,0.0,0.0,0.0,0.0,0,1,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,W (Dec 23),1,13,16.92,31%,22,41,258,0,0,4,26,1,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Haskins Jr.,W (Dec 23),1,8,16.6,2%,31,44,295,1,2,3,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,W (Dec 23),1,10,16.08,8%,34,45,207,1,0,5,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,W (Dec 23),1,11,15.48,13%,24,48,202,1,1,8,34,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
