name,tier,pos
Lamar Jackson,1,QB
Kyler Murray,1,QB
Dak Prescott,1,QB
Russell Wilson,1,QB
Patrick Mahomes II,1,QB
Josh Allen,2,QB
Cam Newton,2,QB
Aaron Rodgers,3,QB
Matt Ryan,3,QB
Ben Roethlisberger,4,QB
Drew Brees,4,QB
Deshaun Watson,4,QB
Carson Wentz,4,QB
Matthew Stafford,5,QB
Tom Brady,5,QB
Gardner Minshew II,5,QB
Ryan Tannehill,6,QB
Joe Burrow,6,QB
Philip Rivers,7,QB
Jared Goff,7,QB
Mitchell Trubisky,7,QB
Kirk Cousins,8,QB
Daniel Jones,8,QB
Baker Mayfield,8,QB
Justin Herbert,8,QB
Teddy Bridgewater,8,QB
Derrick Henry,1,RB
Ezekiel Elliott,1,RB
Jonathan Taylor,1,RB
Alvin Kamara,1,RB
Dalvin Cook,1,RB
Josh Jacobs,1,RB
Nick Chubb,2,RB
Aaron Jones,2,RB
Clyde Edwards-Helaire,3,RB
Chris Carson,3,RB
Joe Mixon,3,RB
Miles Sanders,3,RB
Kenyan Drake,3,RB
Austin Ekeler,4,RB
Todd Gurley II,4,RB
David Montgomery,4,RB
James Conner,5,RB
James Robinson,5,RB
Kareem Hunt,5,RB
Mark Ingram II,5,RB
Melvin Gordon III,5,RB
David Johnson,5,RB
J.K. Dobbins,6,RB
Zack Moss,6,RB
Leonard Fournette,6,RB
Devin Singletary,6,RB
Joshua Kelley,6,RB
Antonio Gibson,6,RB
Ronald Jones II,7,RB
Malcolm Brown,7,RB
Sony Michel,7,RB
Jerick McKinnon,8,RB
Latavius Murray,8,RB
Adrian Peterson,8,RB
D'Andre Swift,8,RB
Frank Gore,8,RB
Nyheim Hines,8,RB
Jordan Howard,9,RB
Tarik Cohen,9,RB
Mike Davis,9,RB
DeAndre Hopkins,1,WR
Davante Adams,1,WR
Tyreek Hill,1,WR
Julio Jones,1,WR
Allen Robinson II,2,WR
Calvin Ridley,2,WR
Adam Thielen,2,WR
Mike Evans,2,WR
D.K. Metcalf,2,WR
Amari Cooper,2,WR
Terry McLaurin,2,WR
JuJu Smith-Schuster,3,WR
Tyler Lockett,3,WR
D.J. Moore,3,WR
Odell Beckham Jr.,4,WR
D.J. Chark Jr.,4,WR
Robert Woods,4,WR
Marquise Brown,4,WR
Stefon Diggs,4,WR
T.Y. Hilton,4,WR
Cooper Kupp,4,WR
Michael Gallup,4,WR
Keenan Allen,5,WR
A.J. Green,6,WR
CeeDee Lamb,6,WR
Julian Edelman,6,WR
Diontae Johnson,6,WR
Marvin Jones Jr.,6,WR
Will Fuller V,6,WR
Darius Slayton,7,WR
Jarvis Landry,7,WR
John Brown,7,WR
DeSean Jackson,7,WR
Tyler Boyd,7,WR
Emmanuel Sanders,7,WR
DeVante Parker,7,WR
Jerry Jeudy,8,WR
Robby Anderson,8,WR
Mike Williams,8,WR
Preston Williams,8,WR
Corey Davis,9,WR
Anthony Miller,9,WR
Brandin Cooks,9,WR
Allen Lazard,9,WR
Henry Ruggs III,9,WR
Laviska Shenault Jr.,9,WR
Sammy Watkins,10,WR
N'Keal Harry,10,WR
Christian Kirk,10,WR
Curtis Samuel,10,WR
Russell Gage,10,WR
Marquez Valdes-Scantling,10,WR
Brandon Aiyuk,11,WR
Golden Tate,11,WR
Mecole Hardman,11,WR
Jalen Reagor,11,WR
Larry Fitzgerald,11,WR
Tre'Quan Smith,11,WR
Scotty Miller,12,WR
Bryan Edwards,12,WR
Travis Kelce,1,TE
Mark Andrews,1,TE
Zach Ertz,2,TE
Jared Cook,2,TE
Tyler Higbee,2,TE
Darren Waller,2,TE
Hunter Henry,2,TE
Jonnu Smith,3,TE
Dallas Goedert,3,TE
T.J. Hockenson,4,TE
Hayden Hurst,4,TE
Noah Fant,4,TE
Mike Gesicki,5,TE
Evan Engram,5,TE
Logan Thomas,6,TE
Chris Herndon IV,6,TE
Austin Hooper,6,TE
Eric Ebron,6,TE
O.J. Howard,7,TE
Rob Gronkowski,7,TE
Greg Olsen,7,TE
Jordan Reed,8,TE
Tyler Eifert,8,TE
Jimmy Graham,8,TE
Justin Tucker,1,K
Harrison Butker,1,K
Wil Lutz,1,K
Greg Zuerlein,2,K
Zane Gonzalez,2,K
Jason Myers,2,K
Robbie Gould,2,K
Mason Crosby,2,K
Younghoe Koo,3,K
Matt Prater,3,K
Jake Elliott,3,K
Chris Boswell,3,K
Rodrigo Blankenship,3,K
Ryan Succop,4,K
Michael Badgley,4,K
Dan Bailey,4,K
Tyler Bass,5,K
Joey Slye,5,K
Nick Folk,5,K
Josh Lambo,5,K
Buffalo Bills,1,DST
San Francisco 49ers,1,DST
Pittsburgh Steelers,1,DST
Tampa Bay Buccaneers,1,DST
Indianapolis Colts,1,DST
Los Angeles Chargers,2,DST
New England Patriots,2,DST
Los Angeles Rams,2,DST
Tennessee Titans,2,DST
Chicago Bears,3,DST
Arizona Cardinals,3,DST
Philadelphia Eagles,3,DST
Cleveland Browns,3,DST
Washington Football Team,4,DST
Baltimore Ravens,4,DST
New Orleans Saints,4,DST
New York Giants,5,DST
Denver Broncos,5,DST
Kansas City Chiefs,5,DST
Seattle Seahawks,5,DST
