,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8.0,30.86,26.98,359,3,2,2,25,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
1,WR,Odell Beckham Jr.,9.0,6.42,10.33,18,0,0,1,-1,0,9,5,58,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
2,WR,DeVante Parker,7.0,11.0,9.95,0,0,0,0,0,0,3,2,50,1,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
3,WR,John Brown,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
4,RB,Alvin Kamara,6.0,11.9,18.92,0,0,0,11,45,0,10,8,74,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
5,RB,James Conner,4.0,12.3,12.87,0,0,0,15,44,1,3,3,19,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TE,Mike Gesicki,7.0,9.1,6.14,0,0,0,0,0,0,6,5,91,0,0,0,0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BN,Jarvis Landry,9.0,8.8,6.5,0,0,0,0,0,0,9,4,88,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
8,BN,Darrell Henderson Jr.,9.0,18.8,8.44,0,0,0,15,38,1,4,3,30,1,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BN,Ryan Tannehill,4.0,36.0,21.48,195,3,0,4,42,1,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BN,Jordan Howard,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
11,BN,Tyler Eifert,8.0,1.6,5.4,0,0,0,0,0,0,7,3,16,0,0,0,0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
12,BN,Tony Pollard,10.0,3.2,4.12,0,0,0,6,30,0,3,2,2,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
13,BN,Justin Herbert,6.0,35.36,20.56,264,4,0,4,8,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
14,K,Harrison Butker,10.0,6.0,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,0,0,1,0,0,3,0,0,0,0,0,0,0
15,DEF,Los Angeles,9.0,12.0,8.66,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0,0,0,0,0,0,10,8,0,0,0,0,0
16,QB,Lamar Jackson,7.0,17.50,27.47,180,2,1,2,3,0,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
17,WR,Cooper Kupp,9.0,6.60,10.59,0,0,0,0,0,0,8,5,66,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
18,WR,DeAndre Hopkins,8.0,19.10,13.04,0,0,0,0,0,0,7,6,131,1,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
19,WR,Mike Williams,6.0,22.90,8.30,0,0,0,0,0,0,8,5,109,2,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
20,RB,Devin Singletary,11.0,3.30,10.21,0,0,0,11,25,0,1,1,8,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
21,RB,Ronald Jones II,13.0,12.50,12.82,0,0,0,17,106,0,5,3,19,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
22,TE,Austin Hooper,9.0,5.70,6.03,0,0,0,0,0,0,10,5,57,0,0,0,0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
23,BN,Kenyan Drake,8.0,12.20,10.54,0,0,0,18,60,1,1,1,2,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BN,Marvin Jones Jr.,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BN,Jared Cook,6.0,11.20,7.50,0,0,0,0,0,0,3,2,52,1,0,0,0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
26,BN,Breshad Perriman,10.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
27,BN,Baker Mayfield,9.0,19.58,19.74,247,2,2,2,17,0,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BN,Boston Scott,9.0,0.30,3.13,0,0,0,1,3,0,0,0,0,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
29,BN,James White,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
30,K,Robbie Gould,11.0,5.0,9.13,0,0,0,0,0,0,0,0,0,0,0,0,0,K,8,Nicholas Saunders,0,0,1,0,0,2,0,0,0,0,0,0,0
31,DEF,Buffalo,11.0,-4.0,6.53,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,8,Nicholas Saunders,0,0,0,0,0,0,42,0,0,0,0,0,0
32,QB,Dak Prescott,10.0,12.44,28.23,166,0,1,2,7,0,1,1,11,1,0,0,0,QB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
33,WR,Will Fuller V,8.0,11.80,10.00,0,0,0,0,0,0,8,4,58,1,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
34,WR,A.J. Green,9.0,0.00,6.61,0,0,0,0,0,0,1,0,0,0,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
35,WR,Christian Kirk,8.0,7.80,6.27,0,0,0,0,0,0,7,5,78,0,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
36,RB,Jonathan Taylor,7.0,13.40,12.40,0,0,0,12,57,1,3,2,17,0,0,0,0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
37,RB,Matt Breida,7.0,5.90,3.25,0,0,0,9,28,0,1,1,31,0,0,0,0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TE,Mark Andrews,7.0,11.60,9.72,0,0,0,0,0,0,9,6,56,1,0,0,0,TE,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
39,BN,Curtis Samuel,13.0,6.40,5.88,0,0,0,4,28,0,5,5,36,0,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
40,BN,Nick Chubb,9.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
41,BN,Davante Adams,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
42,BN,Cam Akers,9.0,6.10,5.62,0,0,0,9,61,0,0,0,0,0,0,0,0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
43,BN,Sterling Shepard,11.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
44,BN,Kirk Cousins,7.0,18.16,20.37,249,2,1,1,2,0,0,0,0,0,0,0,1,QB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
45,BN,Dallas Goedert,9.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
46,K,Ka'imi Fairbairn,8.0,13.0,8.88,0,0,0,0,0,0,0,0,0,0,0,0,0,K,4,David,0,0,2,1,0,3,0,0,0,0,0,0,0
47,DEF,Arizona,8.0,7.0,7.76,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,4,David,0,0,0,0,0,0,10,3,0,0,0,0,0
48,QB,Matt Ryan,10.0,6.94,22.92,226,0,1,1,-1,0,0,0,0,0,0,0,0,QB,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
49,WR,DK Metcalf,6.0,21.3,11.8,0,0,0,0,0,0,11,6,93,2,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
50,WR,Michael Gallup,10.0,7.3,9.02,0,0,0,0,0,0,4,4,73,0,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
51,WR,Darius Slayton,11.0,12.9,9.36,0,0,0,0,0,0,11,8,129,0,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
52,RB,David Johnson,8.0,10.3,11.62,0,0,0,17,96,0,4,2,7,0,0,0,0,RB,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
53,RB,Latavius Murray,6.0,5.7,7.28,0,0,0,8,34,0,2,2,23,0,0,0,0,RB,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
54,TE,Darren Waller,6.0,10.8,9.35,0,0,0,0,0,0,7,5,48,1,0,0,0,TE,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
55,BN,Tyler Boyd,9.0,4.2,8.76,0,0,0,0,0,0,6,4,42,0,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
56,BN,Dion Lewis,11.0,0.1,4.04,0,0,0,0,0,0,4,2,1,0,0,0,0,RB,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
57,BN,Hunter Renfrow,6.0,4.2,6.24,0,0,0,0,0,0,1,1,42,0,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
58,BN,Kyle Rudolph,7.0,1.0,2.93,0,0,0,0,0,0,2,1,10,0,0,0,0,TE,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
59,BN,Randall Cobb,8.0,4.7,6.42,0,0,0,0,0,0,6,6,47,0,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
60,BN,Derek Carr,6.0,29.98,19.51,347,3,1,4,1,0,0,0,0,0,0,0,0,QB,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
61,K,Younghoe Koo,10.0,13.00,8.97,0,0,0,0,0,0,0,0,0,0,0,0,0,K,5,Ken,0,0,1,1,1,1,0,0,0,0,0,0,0
62,BN,Mason Crosby,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,K,5,Ken,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
63,DEF,Seattle,6.0,7.0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,5,Ken,0,0,0,0,0,0,26,3,0,1,1,0,0
64,QB,Kyler Murray,8.0,28.30,25.21,380,1,1,9,31,1,0,0,0,0,0,0,0,QB,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
65,WR,Amari Cooper,10.0,2.10,10.71,0,0,0,1,-2,0,4,2,23,0,0,0,0,WR,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
66,WR,Tyler Lockett,6.0,4.40,11.94,0,0,0,0,0,0,5,4,44,0,0,0,0,WR,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
67,WR,Marquise Brown,7.0,13.80,9.40,0,0,0,1,1,0,10,6,77,1,0,0,0,WR,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
68,RB,Ezekiel Elliott,10.0,22.50,17.66,0,0,0,19,91,2,2,1,14,0,0,0,0,RB,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
69,RB,Chase Edmonds,8.0,15.20,6.19,0,0,0,3,36,1,6,5,56,0,0,0,0,RB,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
70,TE,Travis Kelce,10.0,16.80,11.08,0,0,0,0,0,0,12,8,108,1,0,0,0,TE,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
71,BN,J.K. Dobbins,7.0,5.50,5.53,0,0,0,1,34,0,3,3,21,0,0,0,0,RB,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
72,BN,Aaron Jones,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
73,BN,Hayden Hurst,10.0,0.80,6.65,0,0,0,0,0,0,6,2,8,0,0,0,0,TE,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
74,BN,Julian Edelman,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
75,BN,Gardner Minshew II,8.0,23.84,22.27,301,2,0,4,18,0,0,0,0,0,0,0,1,QB,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
76,BN,Russell Gage,10.0,1.60,6.46,0,0,0,0,0,0,5,2,16,0,0,0,0,WR,10,Tony,0,0,0,0,0,0,0,0,0,0,0,0,0
77,K,Zane Gonzalez,8.0,7.0,8.84,0,0,0,0,0,0,0,0,0,0,0,0,0,K,10,Tony,0,0,0,1,0,3,0,0,0,0,0,0,0
78,DEF,Tampa Bay,13.0,6.00,7.59,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,10,Tony,0,0,0,0,0,0,20,3,0,1,0,0,0
79,BN,England,5.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,10,Tony,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,QB,Patrick Mahomes,10.0,33.70,30.05,340,2,1,6,21,1,0,0,0,0,0,1,0,QB,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
81,WR,CeeDee Lamb,10.0,12.40,9.61,0,0,0,0,0,0,11,8,124,0,0,0,0,WR,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
82,WR,Tee Higgins,9.0,6.20,7.01,0,0,0,0,0,0,8,4,62,0,0,0,0,WR,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
83,WR,Sammy Watkins,10.0,8.40,7.74,0,0,0,0,0,0,2,2,24,1,0,0,0,WR,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
84,RB,Todd Gurley II,10.0,21.00,11.38,0,0,0,14,121,1,5,4,29,0,0,0,0,RB,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
85,RB,Mark Ingram II,7.0,5.70,8.86,0,0,0,11,57,0,0,0,0,0,0,0,0,RB,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
86,TE,Mo Alie-Cox,7.0,0.00,3.22,0,0,0,0,0,0,1,0,0,0,0,0,0,TE,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
87,BN,Robert Woods,9.0,13.10,9.79,0,0,0,0,0,0,5,4,71,1,0,0,0,WR,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
88,BN,Ryan Fitzpatrick,7.0,33.60,19.80,350,3,0,3,16,0,0,0,0,0,0,0,0,QB,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
89,BN,T.J. Hockenson,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
90,BN,Chris Godwin,13.0,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
91,BN,Cam Newton,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
92,BN,Adrian Peterson,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
93,BN,Devonta Freeman,11.0,14.70,8.23,0,0,0,17,60,1,3,2,27,0,0,0,0,RB,2,Mike Pearson,0,0,0,0,0,0,0,0,0,0,0,0,0
94,K,Dan Bailey,7.0,11.0,8.82,0,0,0,0,0,0,0,0,0,0,0,0,0,K,2,Mike Pearson,0,0,0,1,1,2,0,0,0,0,0,0,0
95,DEF,Dallas,10.0,9.0,7.82,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,2,Mike Pearson,0,0,0,0,0,0,28,2,0,0,1,1,0
96,QB,Tom Brady,13.0,16.12,20.74,253,1,0,3,0,0,0,0,0,0,0,0,0,QB,7,DanS,0,0,0,0,0,0,0,0,0,0,0,0,0
97,WR,JuJu Smith-Schuster,4.0,2.80,8.55,0,0,0,0,0,0,5,4,28,0,0,0,0,WR,7,DanS,0,0,0,0,0,0,0,0,0,0,0,0,0
98,WR,Henry Ruggs III,6.0,17.80,6.02,0,0,0,0,0,0,3,2,118,1,0,0,0,WR,7,DanS,0,0,0,0,0,0,0,0,0,0,0,0,0
