Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Philip Rivers,W (Oct 21),1,7,30.74,19%,21,7,371,3,1,1,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,W (Oct 21),1,11,29.52,32%,17,11,268,3,0,4,8,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Allen,W (Oct 21),1,8,20.0,3%,28,20,280,2,1,2,8,0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,W (Oct 21),1,11,18.32,10%,24,27,198,1,1,5,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Burrow,W (Oct 21),1,9,16.72,73%,23,36,313,0,1,3,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,W (Oct 21),1,10,13.04,14%,10,52,266,1,2,2,4,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Teddy Bridgewater,W (Oct 21),1,13,9.44,53%,19,92,216,0,2,8,48,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,W (Oct 21),1,10,5.44,2%,30,151,186,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,W (Oct 21),1,5,3.46,9%,25,186,189,0,2,5,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,W (Oct 21),1,9,2.6,1%,1096,214,0,0,0,2,23,0,1,1,3,0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Case Keenum,W (Oct 21),1,9,1.84,0%,730,230,46,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,W (Oct 21),1,7,0.36,6%,1085,292,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Blaine Gabbert,W (Oct 21),1,13,0.2,0%,423,296,0,0,0,3,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Browning,W (Oct 21),0.0,7,0.0,0%,947,926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Will Grier,W (Oct 21),0.0,13,0.0,0%,904,878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Manny Wilkins,W (Oct 21),0.0,5,0.0,0%,982,965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
David Blough,W (Oct 21),0.0,5,0.0,0%,979,961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
