Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Jared Goff,W (Dec 23),1,9,29.04,65%,14,3,376,3,2,1,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,W (Dec 23),1,10,18.40,3%,28,26,205,2,1,1,2,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Burrow,W (Dec 23),1,9,13.32,71%,12,49,203,1,0,2,12,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
P.J. Walker,W (Dec 23),1,13,12.12,2%,27,59,258,1,2,5,-2,0,1,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,W (Dec 23),1,5,11.10,14%,25,75,270,0,1,2,23,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smith,W (Dec 23),1,8,10.34,10%,26,87,166,1,1,3,-3,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,W (Dec 23),1,7,9.32,41%,24,100,83,1,0,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Fitzpatrick,W (Dec 23),1,7,3.28,4%,925,197,117,0,1,2,6,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Ryan Finley,W (Dec 23),1,9,1.10,0%,912,270,30,0,1,1,19,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,W (Dec 23),1,7,0.90,0%,598,277,0,0,0,2,9,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
