Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Mitchell Trubisky,W (Dec 30),1,11,27.6,17%,15,11,265,2,1,2,10,1,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,W (Dec 30),1,9,27.14,1%,41,12,371,2,0,2,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
C.J. Beathard,W (Dec 30),1,11,25.08,1%,29,18,182,3,0,3,18,0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,W (Dec 30),1,10,21.0,8%,28,26,175,2,0,7,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Hurts,W (Dec 30),1,9,20.58,66%,11,28,342,1,2,9,69,0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Blaine Gabbert,W (Dec 30),1,13,19.22,0%,495,32,143,2,0,2,15,0,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Glennon,W (Dec 30),1,8,16.44,2%,30,39,211,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,W (Dec 30),1,5,14.06,12%,24,53,264,0,2,5,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taylor Heinicke,W (Dec 30),1,8,13.68,0%,475,61,137,1,0,3,22,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,W (Dec 30),1,7,13.28,7%,953,63,182,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tua Tagovailoa,W (Dec 30),1,7,10.86,22%,25,85,94,1,0,3,11,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,W (Dec 30),1,13,10.58,30%,23,90,197,1,1,6,7,0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taysom Hill,W (Dec 30),1,6,10.02,36%,319,92,8,0,0,5,18,1,1,1,19,0,0,0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,W (Dec 30),1,9,9.66,72%,19,100,234,0,1,7,23,0,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chase Daniel,W (Dec 30),1,5,3.44,0%,738,213,86,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jarrett Stidham,W (Dec 30),1,5,1.76,1%,945,909,44,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Blough,W (Dec 30),1,5,1.76,0%,1012,265,49,0,1,1,18,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Haskins Jr.,W (Dec 30),1,8,0.16,2%,27,333,154,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Barkley,W (Dec 30),1,11,0.14,0%,807,736,11,0,0,3,-3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacoby Brissett,W (Dec 30),1,7,0.1,0%,661,334,0.0,0.0,0.0,1,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Finley,W (Dec 30),0.0,9,0.0,0%,386,902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Shea Patterson,W (Dec 30),0.0,10,0.0,0%,605,517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Love,W (Dec 30),0.0,9,0.0,0%,610,522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
John Wolford,W (Dec 30),0.0,9,0.0,0%,922,878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Browning,W (Dec 30),0.0,7,0.0,0%,982,948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeSean Jackson,W (Dec 30),1,9,14.1,9%,259,52,0.0,0.0,0.0,0.0,0.0,0.0,1,1,81,1,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Zach Pascal,W (Dec 30),1,7,12.4,5%,209,72,0.0,0.0,0.0,0.0,0.0,0.0,6,3,64,1,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Braxton Berrios,W (Dec 30),1,10,12.0,0%,390,77,0.0,0.0,0.0,0.0,0.0,0.0,3,3,60,1,0,0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,W (Dec 30),1,10,8.9,1%,260,112,0.0,0.0,0.0,0.0,0.0,0.0,2,2,29,1,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Erickson,W (Dec 30),1,9,8.8,0%,248,113,0,0,0,0.0,0.0,0.0,6,6,88,0,0,0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,W (Dec 30),1,5,8.1,0%,328,121,0.0,0.0,0.0,0.0,0.0,0.0,1,1,21,1,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DaeSean Hamilton,W (Dec 30),1,5,7.7,0%,347,128,0.0,0.0,0.0,0.0,0.0,0.0,9,5,77,0,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Laquon Treadwell,W (Dec 30),1,10,7.1,0%,367,133,0.0,0.0,0.0,0.0,0.0,0.0,2,2,11,1,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,W (Dec 30),1,9,7.0,6%,215,136,0.0,0.0,0.0,1,5,0,10,6,65,0,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dez Bryant,W (Dec 30),1,7,6.8,5%,293,147,0.0,0.0,0.0,0.0,0.0,0.0,1,1,8,1,0.0,0.0,0.0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
