,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8,40.00,25.02,335,4,0,4,26,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
1,WR,Odell Beckham Jr.,9,2.50,10.89,0.0,0.0,0.0,0.0,0.0,0.0,4,2,25,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
2,WR,DeVante Parker,7,3.50,9.93,0.0,0.0,0.0,0.0,0.0,0.0,8,3,35,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
3,WR,Jarvis Landry,9,4.00,5.18,0.0,0.0,0.0,0.0,0.0,0.0,5,3,40,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
4,RB,James Conner,4,16.20,13.48,0.0,0.0,0.0,20,101,1,1,1,1,0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
5,RB,Darrell Henderson Jr.,9,9.20,8.46,0.0,0.0,0.0,14,88,0,0,0,4,0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TE,Mike Gesicki,7,0.00,6.68,0.0,0.0,0.0,0.0,0.0,0.0,2,0,0,0,0.0,0.0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BN,John Brown,11,0.00,7.37,0.0,0.0,0.0,0.0,0.0,0.0,4,0,0,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
8,BN,Alvin Kamara,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BN,Ryan Tannehill,4,36.56,23.48,364,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,1,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BN,Jordan Howard,7,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
11,BN,Tyler Eifert,8,0.00,4.43,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
12,BN,Tony Pollard,10,4.00,4.22,0.0,0.0,0.0,10,31,0,4,2,9,0,0,0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
13,BN,Justin Herbert,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
14,K,Harrison Butker,10,8.0,9.59,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,0,0,2,0,0,2,0,0,0,0,0,0,0
15,DEF,Los Angeles,9,0.0,6.89,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0,0,0,0,0,0,24,0,0,0,0,0,0
16,QB,Lamar Jackson,7,30.24,26.26,186,1,0,9,108,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
17,WR,Cooper Kupp,9,1.10,9.99,0.0,0.0,0.0,0.0,0.0,0.0,9,3,11,0,0,0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
18,WR,DeAndre Hopkins,8,7.30,13.14,0.0,0.0,0.0,0.0,0.0,0.0,8,2,73,0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
19,WR,Marvin Jones Jr.,5,0.80,7.78,0.0,0.0,0.0,0.0,0.0,0.0,5,2,8,0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
20,RB,Ronald Jones II,13,24.10,13.53,0.0,0.0,0.0,23,113,2,2,2,8,0,0.0,0.0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
