Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Mitchell Trubisky,W (Dec 23),1,11,30.28,3%,34,6,242,3,0,3,26,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,W (Dec 23),1,8,26.82,25%,25,11,173,3,0,5,19,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,W (Dec 23),1,13,21.36,22%,20,25,269,1,0,4,26,0,0,0,0,0,0,1,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dak Prescott,W (Dec 23),1,10,19.64,100%,5,30,266,1,0,3,30,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Burrow,W (Dec 23),1,9,16.32,75%,23,44,193,0,1,8,46,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Lock,W (Dec 23),1,5,15.14,18%,29,50,216,1,0,3,5,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Haskins Jr.,W (Dec 23),1,8,14.82,5%,39,55,178,1,0,7,17,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,W (Dec 23),1,10,13.2,12%,31,62,215,1,1,1,6,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,W (Dec 23),1,9,10.5,68%,19,90,275,0,1,4,15,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyrod Taylor,W (Dec 23),1,6,9.02,8%,24,107,208,0,0,6,7,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,W (Dec 23),1,7,5.44,4%,37,170,191,0,3,5,18,0,0,0,0,0,0,1,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Streveler,W (Dec 23),1,8,0.3,0%,1088,340,0,0,0,1,3,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
