,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8,28.24,26.30,281,2,0,10,50,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
1,WR,John Brown,11,9.90,7.34,0,0,0,0,0,0,11,8,99,0,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
2,WR,Cole Beasley,11,3.90,6.93,0,0,0,0,0,0,3,3,39,0,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
3,WR,Brandin Cooks,8,14.30,8.45,0,0,0,0,0,0,9,3,83,1,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
4,RB,James Conner,4,2.00,13.65,0,0,0,9,22,0,2,2,-2,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
5,RB,Alvin Kamara,6,10.90,16.05,0,0,0,9,40,1,6,5,9,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
6,TE,Jonnu Smith,4,9.20,6.40,0,0,0,0,0,0,2,2,32,1,0,0,0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
7,BN,Mike Gesicki,7,4.20,5.31,0,0,0,0,0,0,4,3,42,0,0,0,0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
8,BN,Ryan Tannehill,4,18.62,22.99,158,2,0,3,3,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
9,BN,Jarvis Landry,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
10,BN,Darrell Henderson Jr.,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
11,BN,Jordan Howard,7,7.90,7.46,0,0,0,10,19,1,0,0,0,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
12,BN,Tony Pollard,10,5.80,6.40,0,0,0,9,57,0,2,1,1,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
13,BN,Justin Herbert,6,27.44,26.79,326,2,0,5,24,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
14,K,Harrison Butker,10,11.0,10.33,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,0.0,0.0,1.0,0.0,1.0,3.0,0,0,0,0,0,0,0
15,DEF,Los Angeles,6,2.0,5.91,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,31,1,0,0,1,0,0
16,QB,Lamar Jackson,7,18.60,24.57,170,0,0,13,58,1,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
17,WR,Marvin Jones Jr.,5,10.30,8.37,0,0,0,0,0,0,4,3,43,1,0,0,0,WR,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
18,WR,Mike Williams,6,8.10,8.67,0,0,0,0,0,0,7,5,81,0,0,0,0,WR,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
19,WR,DeAndre Hopkins,8,3.00,12.54,0,0,0,0,0,0,3,3,30,0,0,0,0,WR,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
20,RB,Ronald Jones II,13,1.80,8.05,0,0,0,3,9,0,4,3,9,0,0,0,0,RB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
21,RB,Devin Singletary,11,3.40,8.48,0,0,0,2,1,0,3,3,33,0,0,0,0,RB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
22,TE,Jason Witten,6,0.00,1.48,0,0,0,0,0,0,1,1,0,0,0,0,0,TE,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
23,BN,Austin Hooper,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
24,BN,Cooper Kupp,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
25,BN,Kenyan Drake,8,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
26,BN,Baker Mayfield,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
27,BN,Jared Cook,6,1.00,6.79,0,0,0,0,0,0,3,2,30,0,0,0,1,TE,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
28,BN,Boston Scott,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
29,BN,James White,5,2.40,5.82,0,0,0,2,0,0,5,4,24,0,0,0,0,RB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0
30,K,Robbie Gould,11,5.0,8.11,0,0,0,0,0,0,0,0,0,0,0,0,0,K,8,Nicholas Saunders,0.0,1.0,0.0,0.0,0.0,2.0,0,0,0,0,0,0,0
31,DEF,Buffalo,11,12.0,4.33,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,34,5,0,2,2,0,0
