,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8,28.16,26.20,309,2,0,7,38,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
1,WR,Odell Beckham Jr.,9,0.00,10.29,0,0,0,0,0,0,1,0,0,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
2,WR,Jarvis Landry,9,5.96,6.51,19,0,0,2,4,0,6,5,48,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
3,WR,Brandin Cooks,8,6.00,8.91,0,0,0,0,0,0,9,7,60,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
4,RB,James Conner,4,11.10,13.27,0,0,0,20,82,0,5,3,29,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
5,RB,Alvin Kamara,6,14.80,17.44,0,0,0,14,83,0,8,8,65,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
6,TE,Jonnu Smith,4,0.90,6.53,0,0,0,0,0,0,4,1,9,0,0,0,0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
7,BN,John Brown,11,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
8,BN,Darrell Henderson Jr.,9,7.70,10.62,0,0,0,15,64,0,2,2,13,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
9,BN,Mike Gesicki,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
10,BN,Ryan Tannehill,4,21.30,22.14,220,2,0,2,5,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
11,BN,Jordan Howard,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
12,BN,Tony Pollard,10,2.20,4.29,0,0,0,8,16,0,1,1,6,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
13,BN,Justin Herbert,6,44.48,21.62,347,3,0,9,66,1,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0,0,0,0,0,0,0
14,K,Harrison Butker,10,14.0,10.15,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,0,1,1,1,0,4,0,0,0,0,0,0,0
15,DEF,Los Angeles,9,15.0,7.49,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0,0,0,0,0,0,4,4,0,2,0,0,0
16,QB,Baker Mayfield,9,39.78,20.79,297,5,1,1,-1,0,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
17,WR,Cooper Kupp,9,5.90,10.12,0,0,0,1,16,0,6,6,43,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
18,WR,DeAndre Hopkins,8,14.30,13.20,0,0,0,0,0,0,12,10,103,1,0,0,1,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
19,WR,Marvin Jones Jr.,5,8.00,6.87,0,0,0,0,0,0,6,5,80,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
20,RB,Ronald Jones II,13,9.60,12.74,0,0,0,13,34,1,2,1,2,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
21,RB,Kenyan Drake,8,4.10,11.20,0,0,0,14,34,0,2,1,7,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
22,TE,Austin Hooper,9,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
23,BN,Lamar Jackson,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
24,BN,Devin Singletary,11,4.70,10.52,0,0,0,8,29,0,5,2,18,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
25,BN,Mike Williams,6,0.40,8.49,0,0,0,0,0,0,3,1,4,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
26,BN,Jared Cook,6,9.20,7.50,0,0,0,0,0,0,4,3,32,1,0,0,0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
27,BN,Breshad Perriman,10,2.70,7.20,0,0,0,0,0,0,2,2,27,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
28,BN,Boston Scott,9,15.20,9.44,0,0,0,12,46,0,5,3,46,1,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
29,BN,James White,5,0.30,6.60,0,0,0,0,0,0,1,1,3,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0,0,0,0,0,0,0
30,K,Robbie Gould,11,10.0,7.96,0,0,0,0,0,0,0,0,0,0,0,0,0,K,8,Nicholas Saunders,0,0,1,1,0,3,0,0,0,0,0,0,0
31,DEF,Buffalo,11,14.0,9.18,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,8,Nicholas Saunders,0,0,0,0,0,0,10,6,0,2,0,0,0
32,QB,Andy Dalton,10,2.60,22.53,75,0,1,3,16,0,0,0,0,0,0,0,0,QB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
33,WR,Will Fuller V,8,9.50,10.03,0,0,0,0,0,0,6,3,35,1,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
34,WR,Davante Adams,5,31.60,13.26,0,0,0,0,0,0,16,13,196,2,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
35,WR,A.J. Green,9,8.20,7.62,0,0,0,0,0,0,13,7,82,0,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
36,RB,Cam Akers,9,0.00,3.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
37,RB,Joshua Kelley,6,5.30,6.87,0,0,0,12,29,0,5,5,24,0,0,0,0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
38,TE,Eric Ebron,4,5.00,5.77,0,0,0,0,0,0,8,6,50,0,0,0,0,TE,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
39,BN,Mark Andrews,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
40,BN,Jonathan Taylor,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
41,BN,Christian Kirk,8,15.70,6.45,0,0,0,0,0,0,8,5,37,2,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
42,BN,Matt Breida,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
43,BN,Nick Chubb,9,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
44,BN,Sterling Shepard,11,11.90,4.70,0,0,0,0,0,0,8,6,59,1,0,0,0,WR,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
45,BN,Dallas Goedert,9,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,4,David,0,0,0,0,0,0,0,0,0,0,0,0,0
46,K,Ka'imi Fairbairn,8,8.0,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0,K,4,David,0,1,1,0,0,2,0,0,0,0,0,0,0
47,DEF,Cleveland,9,7.0,6.65,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,4,David,0,0,0,0,0,0,34,4,0,1,1,0,0
48,QB,Matt Ryan,10,19.52,23.29,338,1,0,0,0,0,0,0,0,0,0,1,1,QB,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
49,WR,Darius Slayton,11,2.30,8.47,0,0,0,0,0,0,4,2,23,0,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
50,WR,Tyler Boyd,9,16.74,9.45,16,0,0,0,0,0,13,11,101,1,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
51,WR,DK Metcalf,6,2.30,12.05,0,0,0,0,0,0,5,2,23,0,0,0,0,WR,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
52,RB,David Johnson,8,12.40,11.76,0,0,0,14,42,0,4,4,42,1,0,0,1,RB,5,Ken,0,0,0,0,0,0,0,0,0,0,0,0,0
