Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Dak Prescott,W (Dec 23),1,10,41.8,100%,3,3,450,1,0,5,18,3,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Joe Burrow,W (Dec 23),1,9,30.54,71%,14,10,316,3,0,7,19,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,W (Dec 23),1,9,29.98,62%,13,11,267,3,0,7,13,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,W (Dec 23),1,8,29.46,32%,20,12,339,3,2,4,19,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,W (Dec 23),1,7,28.32,4%,34,14,328,2,0,3,12,0,0,0,0,0,0,1,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jeff Driskel,W (Dec 23),1,5,22.74,0%,644,21,256,2,1,2,5,0,0,0,0,0,0,1,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,W (Dec 23),1,11,17.2,7%,25,39,190,2,2,4,16,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,W (Dec 23),1,10,13.86,11%,33,66,179,1,0,2,7,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dwayne Haskins Jr.,W (Dec 23),1,8,13.72,5%,29,67,223,1,0,1,8,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,W (Dec 23),1,13,8.68,21%,28,121,367,0,2,0,0,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Mullens,W (Dec 23),1,11,0.64,0%,745,331,71,0,1,2,-2,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Griffin,W (Dec 23),0.0,13,0.0,0%,789,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Drew Anderson,W (Dec 23),0.0,8,0.0,0%,961,949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Matt Schaub,W (Dec 23),0.0,10,0.0,0%,843,829,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Streveler,W (Dec 23),0.0,8,0.0,0%,1092,1080,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
