Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Drew Lock,W (Dec 30),1,5,33.6,11%,24,5,280,4,0,6,4,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tua Tagovailoa,W (Dec 30),1,7,31.04,20%,31,6,316,2,1,6,24,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mitchell Trubisky,W (Dec 30),1,11,30.98,11%,19,7,267,3,0,4,23,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taysom Hill,W (Dec 30),1,6,22.94,64%,14,15,291,2,1,5,33,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Hurts,W (Dec 30),1,9,21.28,17%,22,22,167,1,0,18,106,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,W (Dec 30),1,13,20.42,32%,21,28,283,0,0,3,31,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,W (Dec 30),1,9,16.58,72%,15,48,137,1,1,4,11,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,W (Dec 30),1,9,15.88,1%,36,51,217,1,0,4,12,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,W (Dec 30),1,8,15.32,10%,949,55,178,1,0,2,22,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Mullens,W (Dec 30),1,11,14.4,5%,27,59,260,1,1,0,0,0,0,0,0,0,0,1,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
