Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Mitchell Trubisky,W (Dec 30),1,11,24.78,4%,29,11,242,3,2,3,11,0,0,0,0,0,0,1,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ryan Fitzpatrick,W (Dec 30),1,7,23.28,20%,11,14,257,2,0,3,10,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mike Glennon,W (Dec 30),1,8,22.0,1%,42,17,235,2,0,2,6,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Taysom Hill,W (Dec 30),1,6,17.52,59%,17,33,78,0,1,10,44,2,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Teddy Bridgewater,W (Dec 30),1,13,15.88,39%,21,42,267,1,1,2,12,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jacoby Brissett,W (Dec 30),1,7,12.3,0%,644,68,0,0,0,4,3,2,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Trace McSorley,W (Dec 30),1,7,10.68,0%,944,81,77,1,0,3,16,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Alex Smith,W (Dec 30),1,8,10.06,7%,28,87,149,1,1,3,1,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Allen,W (Dec 30),1,9,8.14,1%,36,121,136,1,1,4,7,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Mullens,W (Dec 30),1,11,8.08,4%,27,122,252,0,1,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sam Darnold,W (Dec 30),1,10,4.78,8%,26,181,197,0,2,2,9,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Robert Griffin III,W (Dec 30),1,7,4.12,3%,31,189,33,0,1,7,68,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jared Goff,W (Dec 30),1,9,3.02,74%,13,221,198,0,2,5,11,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Colt McCoy,W (Dec 30),1,11,1.94,0%,994,252,31,0,0,5,7,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nathan Peterman,W (Dec 30),1,6,1.9,0%,740,254,25,0,0,1,9,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Hurts,W (Dec 30),1,9,0.24,4%,211,326,6,0,0,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nick Foles,W (Dec 30),0.0,11,0.0,6%,692,622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jake Dolegala,W (Dec 30),0.0,5,0.0,0%,1042,1018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kyle Shurmur,W (Dec 30),0.0,9,0.0,0%,1026,999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Blough,W (Dec 30),0.0,5,0.0,0%,998,970,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Devlin Hodges,W (Dec 30),0.0,4,0.0,0%,1083,1061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Ta'amu,W (Dec 30),0.0,5,0.0,0%,1095,1075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chris Streveler,W (Dec 30),0.0,8,0.0,0%,1098,1079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Manny Wilkins,W (Dec 30),0.0,5,0.0,0%,1001,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gardner Minshew II,W (Dec 30),0.0,8,0.0,12%,941,911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Collin Johnson,W (Dec 30),1,8,15.6,0%,249,43,0,0,0,0,0,0,8,4,96,1,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gabriel Davis,W (Dec 30),1,11,13.9,3%,192,60,0,0,0,0,0,0,4,3,79,1,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Mohamed Sanu,W (Dec 30),1,5,11.2,1%,316,76,0,0,0,0,0,0,4,4,32,1,0,1,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Chad Beebe,W (Dec 30),1,7,10.3,0%,290,85,0,0,0,0,0,0,7,7,63,1,0,0,1,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Olabisi Johnson,W (Dec 30),1,7,9.4,0%,268,102,0,0,0,0,0,0,7,7,74,0,0,1,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Allen Lazard,W (Dec 30),1,5,8.3,39%,126,117,0,0,0,0,0,0,6,4,23,1,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Breshad Perriman,W (Dec 30),1,10,7.9,12%,159,126,0,0,0,0,0,0,8,4,79,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Denzel Mims,W (Dec 30),1,10,6.7,7%,169,143,0,0,0,0,0,0,8,4,67,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brandon Powell,W (Dec 30),1,10,6.4,0%,366,145,0,0,0,0,0,0,2,2,4,1,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Tyron Johnson,W (Dec 30),1,6,6.3,0%,361,146,0,0,0,0,0,0,4,2,63,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
David Moore,W (Dec 30),1,6,5.5,4%,237,160,0,0,0,1,1,0,3,3,-6,1,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Darnell Mooney,W (Dec 30),1,11,5.4,7%,193,162,0,0,0,0,0,0,9,3,34,0,0,1,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Henry Ruggs III,W (Dec 30),1,6,5.4,28%,203,166,0,0,0,1,-2,0,5,3,56,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Equanimeous St. Brown,W (Dec 30),1,5,4.6,0%,356,184,0,0,0,1,7,0,2,2,39,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Reynolds,W (Dec 30),1,9,4.0,9%,175,192,0,0,0,0,0,0,6,5,40,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Demarcus Robinson,W (Dec 30),1,10,3.6,1%,292,205,0,0,0,0,0,0,6,5,36,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Golden Tate,W (Dec 30),1,11,3.6,14%,260,206,0,0,0,0,0,0,9,4,36,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Russell Gage,W (Dec 30),1,10,3.4,8%,171,208,0,0,0,0,0,0,5,3,34,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kendrick Bourne,W (Dec 30),1,11,3.4,3%,218,207,0,0,0,0,0,0,5,3,34,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Andy Isabella,W (Dec 30),1,8,3.3,1%,235,212,0,0,0,0,0,0,6,4,33,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jalen Guyton,W (Dec 30),1,6,3.3,0%,261,213,0,0,0,0,0,0,4,3,33,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Damiere Byrd,W (Dec 30),1,5,3.3,5%,227,211,0,0,0,0,0,0,8,3,33,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
KhaDarel Hodge,W (Dec 30),1,9,3.1,0%,253,218,0,0,0,0,0,0,3,3,31,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Richie James,W (Dec 30),1,11,2.9,2%,202,226,0,0,0,0,0,0,1,1,29,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Anthony Miller,W (Dec 30),1,11,2.8,18%,199,229,0,0,0,0,0,0,6,3,28,0,0,0,0,WR,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Adrian Peterson,W (Dec 30),1,5,17.5,46%,147,34,0,0,0,15,55,2,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Cam Akers,W (Dec 30),1,9,14.4,30%,228,52,0,0,0,9,84,1,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Duke Johnson,W (Dec 30),1,8,14.0,79%,58,55,0,0,0,9,37,0,4,3,43,1,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
James White,W (Dec 30),1,5,13.7,62%,129,61,0,0,0,5,18,2,1,1,-1,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ito Smith,W (Dec 30),1,10,13.5,1%,240,63,0,0,0,12,65,1,5,4,10,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Benny Snell Jr.,W (Dec 30),1,4,9.3,36%,134,104,0,0,0,16,60,0,4,3,33,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Kerryon Johnson,W (Dec 30),1,5,7.8,15%,176,129,0,0,0,11,46,0,4,4,52,0,0,0,1,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Gus Edwards,W (Dec 30),1,7,7.0,53%,62,136,0,0,0,9,10,1,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
DeAndre Washington,W (Dec 30),1,7,6.0,1%,285,151,0,0,0,13,49,0,5,2,11,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peyton Barber,W (Dec 30),1,8,5.7,1%,304,157,0,0,0,11,57,0,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Jordan Wilkins,W (Dec 30),1,7,5.7,17%,153,158,0,0,0,6,22,0,4,3,35,0,0,0,0,RB,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
