Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Philip Rivers,W (Nov 4),1,7,28.28,19%,16,41,262,3,0,2,-2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,W (Nov 4),1,5,25.82,9%,24,50,248,3,1,2,-1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Mullens,W (Nov 4),1,11,21.52,1%,757,95,238,2,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,W (Nov 4),1,11,20.88,9%,23,89,272,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Cam Newton,W (Nov 4),1,5,18.36,63%,6,81,174,0,0,9,54,1,0.0,0.0,0.0,0.0,0,1,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,W (Nov 4),1,6,12.50,1%,255,159,0.0,0.0,0.0,5,35,0,2,2,30,1,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kirk Cousins,W (Nov 4),1,7,12.40,28%,20,2512,160,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,W (Nov 4),1,7,7.72,32%,27,2633,93,1,0,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Darnold,W (Nov 4),1,10,7.42,8%,25,2587,133,0,0,4,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben DiNucci,W (Nov 4),1,10,5.40,2%,441,2635,180,0,0,5,22,0,0.0,0.0,0.0,0.0,0.0,0.0,2,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Henne,W (Nov 4),1,10,0.68,0%,636,2639,17,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,W (Nov 4),1,9,0.36,1%,266,2640,9,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Mitchell Trubisky,W (Nov 4),1,11,0.30,1%,704,2641,0.0,0.0,0.0,1,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
P.J. Walker,W (Nov 4),1,13,0.12,0%,753,2642,3,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Browning,W (Nov 4),0.0,7,0.00,0%,963,2452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Dolegala,W (Nov 4),0.0,5,0.00,0%,1035,2453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Shurmur,W (Nov 4),0.0,10,0.00,0%,1022,2427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Manny Wilkins,W (Nov 4),0.0,5,0.00,0%,998,2463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
John Wolford,W (Nov 4),0.0,9,0.00,0%,905,2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
David Blough,W (Nov 4),0.0,5,0.00,0%,995,2451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Rypien,W (Nov 4),0.0,5,0.00,0%,983,2393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
