Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Teddy Bridgewater,W (Oct 28),1,13,23.16,43%,22,93,254,2,0,2,10,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Allen,W (Oct 28),1,8,20.86,5%,28,128,194,2,0,4,11,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,W (Oct 28),1,5,12.96,9%,25,174,254,0,2,3,8,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jimmy Garoppolo,W (Oct 28),1,11,7.48,30%,21,2568,277,0,2,1,4,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,W (Oct 28),1,11,6.44,10%,27,2598,261,0,2,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Chad Henne,W (Oct 28),1,10,6.32,0%,610,2628,13,0,0,4,-2,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben DiNucci,W (Oct 28),1,10,1.56,0%,418,2634,39,0,0,1,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jarrett Stidham,W (Oct 28),1,5,0.86,1%,916,2633,64,0,1,2,3,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Sam Darnold,W (Oct 28),1,10,0.80,8%,26,2632,120,0,2,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,W (Oct 28),1,6,0.60,1%,197,2635,0,0,0,1,6,0,1,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,W (Oct 28),1,9,0.20,1%,260,2636,0,0,0,2,2,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Browning,W (Oct 28),0.0,7,–,0%,952,2446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Schaub,W (Oct 28),0.0,10,0.00,0%,842,2431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Streveler,W (Oct 28),0.0,8,0.00,0%,1081,2469,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Ta'amu,W (Oct 28),0.0,10,0.00,0%,1077,2422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Devlin Hodges,W (Oct 28),0.0,4,0.00,0%,1066,2455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Dolegala,W (Oct 28),0.0,5,0.00,0%,1028,2447,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Shurmur,W (Oct 28),0.0,10,0.00,0%,1012,2424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Manny Wilkins,W (Oct 28),0.0,5,0.00,0%,987,2457,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
David Blough,W (Oct 28),0.0,5,0.00,0%,984,2445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Rypien,W (Oct 28),0.0,5,0.00,0%,972,2388,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Anderson,W (Oct 28),0.0,8,0.00,0%,959,2393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Glennon,W (Oct 28),0.0,8,0.00,0%,763,2461,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,W (Oct 28),0.0,7,–,28%,1086,2415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smith,W (Oct 28),0.0,8,0.00,0%,885,2434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Scotty Miller,W (Oct 28),1,13,16.9,10%,251,21,0,0,0,0,0,0,9,6,109,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Nelson Agholor,W (Oct 28),1,6,16.7,3%,268,26,0,0,0,0,0,0,9,5,107,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Guyton,W (Oct 28),1,6,14.4,0%,271,47,0,0,0,0,0,0,3,2,84,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Samuel,W (Oct 28),1,13,11.3,16%,204,59,0,0,0,1,5,1,6,6,48,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Cole Beasley,W (Oct 28),1,11,11.2,38%,162,40,0,0,0,0,0,0,12,11,112,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Josh Reynolds,W (Oct 28),1,9,11.2,1%,176,68,0,0,0,0,0,0,8,4,52,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Rashard Higgins,W (Oct 28),1,9,11.0,0%,254,60,0,0,0,0,0,0,6,6,110,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Deonte Harris,W (Oct 28),1,6,10.6,2%,147,77,0,0,0,0,0,0,5,4,46,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Greg Ward,W (Oct 28),1,9,10.2,7%,206,76,0,0,0,0,0,0,6,5,42,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Davis,W (Oct 28),1,4,9.5,27%,165,78,0,0,0,0,0,0,10,6,35,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Chris Conley,W (Oct 28),1,8,8.8,1%,224,113,0,0,0,0,0,0,2,1,28,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Marquez Callaway,W (Oct 28),1,6,7.5,0%,208,87,0,0,0,0,0,0,10,8,75,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Reed,W (Oct 28),1,6,7.4,0%,374,150,0,0,0,2,14,1,0,0,0,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Malik Taylor,W (Oct 28),1,5,6.6,0%,301,148,0,0,0,0,0,0,2,2,6,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Johnson,W (Oct 28),1,13,6.4,0%,316,151,0,0,0,0,0,0,2,2,4,1,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Jakobi Meyers,W (Oct 28),1,5,6.2,0%,352,133,0,0,0,1,2,0,6,4,60,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Larry Fitzgerald,W (Oct 28),1,8,6.2,10%,222,104,0,0,0,0,0,0,8,8,62,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Danny Amendola,W (Oct 28),1,5,6.2,1%,215,146,0,0,0,0,0,0,4,3,62,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Byron Pringle,W (Oct 28),1,10,6.0,0%,363,1687,0,0,0,0,0,0,0,0,0,0,1,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
John Hightower,W (Oct 28),1,9,5.9,0%,288,1678,0,0,0,0,0,0,2,1,59,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
David Moore,W (Oct 28),1,6,5.8,2%,221,152,0,0,0,1,4,0,3,3,54,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Russell Gage,W (Oct 28),1,10,5.4,17%,219,130,0,0,0,0,0,0,7,6,54,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Mike Thomas,W (Oct 28),1,9,5.4,0%,259,1679,0,0,0,0,0,0,3,2,54,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Patrick,W (Oct 28),1,5,4.4,26%,164,1693,0,0,0,0,0,0,4,3,44,0,0,0,0,WR,0,0,0,0,0,0,0,0,0,0,0,0,0
Jeff Wilson Jr.,W (Oct 28),1,11,30.0,5%,232,3,0,0,0,17,112,3,2,2,8,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Carlos Hyde,W (Oct 28),1,6,13.6,8%,231,46,0,0,0,15,68,1,4,3,8,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Malcolm Brown,W (Oct 28),1,9,11.7,21%,227,79,0,0,0,10,57,1,1,0,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
La'Mical Perine,W (Oct 28),1,10,11.5,16%,192,72,0,0,0,11,39,1,3,2,16,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Gallman Jr.,W (Oct 28),1,11,11.4,2%,276,57,0,0,0,10,34,1,5,5,20,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Leonard Fournette,W (Oct 28),1,13,9.7,66%,220,67,0,0,0,11,50,0,7,6,47,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Juszczyk,W (Oct 28),1,11,9.6,0%,280,95,0,0,0,4,18,1,2,1,18,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
JaMycal Hasty,W (Oct 28),1,11,7.3,16%,541,131,0,0,0,9,57,0,1,1,16,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Benny Snell Jr.,W (Oct 28),1,4,6.2,8%,257,166,0,0,0,2,2,1,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Duke Johnson,W (Oct 28),1,8,4.2,19%,201,153,0,0,0,1,-1,0,5,5,43,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Peyton Barber,W (Oct 28),1,8,3.4,2%,263,2486,0,0,0,10,34,0,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Brian Hill,W (Oct 28),1,10,3.0,12%,213,2369,0,0,0,2,3,0,3,3,27,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Richard,W (Oct 28),1,6,2.4,2%,247,2515,0,0,0,7,24,0,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Alec Ingold,W (Oct 28),1,6,2.1,0%,358,2509,0,0,0,0,0,0,1,1,21,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Corey Clement,W (Oct 28),1,9,2.1,1%,216,2510,0,0,0,2,9,0,1,1,12,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
DeeJay Dallas,W (Oct 28),1,6,1.8,0%,366,2505,0,0,0,0,0,0,3,2,18,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Royce Freeman,W (Oct 28),1,5,1.7,1%,309,2523,0,0,0,3,12,0,2,1,5,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Reggie Gilliam,W (Oct 28),1,11,1.5,0%,601,2502,0,0,0,0,0,0,1,1,15,0,0,0,0,"RB,TE",0,0,0,0,0,0,0,0,0,0,0,0,0
Devontae Booker,W (Oct 28),1,6,1.4,1%,272,2514,0,0,0,3,5,0,2,2,9,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jason Huntley,W (Oct 28),1,9,1.3,0%,298,2545,0,0,0,2,13,0,1,0,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
AJ Dillon,W (Oct 28),1,5,1.1,10%,315,2551,0,0,0,5,11,0,0,0,0,0,0,0,0,RB,0,0,0,0,0,0,0,0,0,0,0,0,0
