,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Ryan Tannehill,4,21.32,24.10,233,2,1,2,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WR,Jarvis Landry,9,5.20,8.56,0.0,0.0,0.0,0.0,0.0,0.0,11,4,52,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WR,John Brown,11,2.10,7.64,0.0,0.0,0.0,0.0,0.0,0.0,2,1,21,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WR,Cole Beasley,11,2.40,6.70,0.0,0.0,0.0,0.0,0.0,0.0,2,2,24,0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RB,James Conner,4,12.00,12.87,0.0,0.0,0.0,15,47,1,3,3,13,0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RB,Alvin Kamara,6,16.30,15.38,0.0,0.0,0.0,12,67,0,13,9,96,0,0.0,0.0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Mike Gesicki,7,0.80,5.83,0.0,0.0,0.0,0.0,0.0,0.0,2,1,8,0,0.0,0.0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BN,Jonnu Smith,4,2.90,6.73,0.0,0.0,0.0,0.0,0.0,0.0,2,2,29,0,0.0,0.0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BN,Brandin Cooks,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BN,Deshaun Watson,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
