,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8,16.12,24.07,163,1,0,8,36,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WR,John Brown,11,7.20,8.80,0,0,0,0,0,0,8,6,72,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WR,Brandin Cooks,8,3.90,8.89,0,0,0,0,0,0,8,6,39,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WR,Jarvis Landry,9,2.90,8.64,0,0,0,0,0,0,5,3,29,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RB,James Conner,4,4.80,13.56,0,0,0,13,36,0,2,2,12,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RB,Alvin Kamara,6,27.80,16.85,0,0,0,8,15,2,8,7,83,1,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Jonnu Smith,4,7.50,6.76,0,0,0,1,1,1,6,2,14,0,0,0,0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BN,Cole Beasley,11,16.90,6.96,0,0,0,0,0,0,13,11,109,1,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BN,Mike Gesicki,7,4.00,6.07,0,0,0,0,0,0,5,2,40,0,0,0,0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BN,Ryan Tannehill,4,12.78,23.15,147,1,0,2,9,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BN,Darrell Henderson Jr.,9,9.30,11.03,0,0,0,7,28,1,1,1,5,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BN,Jordan Howard,9,0.00,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BN,Tony Pollard,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BN,Justin Herbert,6,24.48,24.00,187,2,1,4,10,1,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,K,Mason Crosby,5,6.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,0,0,1,0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,DEF,Los Angeles,6,1.0,6.33,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0,0,0,0,0,0,29.0,0.0,0.0,0.0,1.0,0.0,0.0
16,QB,Lamar Jackson,7,25.46,23.6,249,2,1,11,55,0,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,WR,Marvin Jones Jr.,5,15.6,8.9,0,0,0,0,0,0,10,8,96,1,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,WR,Mike Williams,6,3.8,8.65,0,0,0,0,0,0,5,2,38,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,WR,DeAndre Hopkins,8,18.7,12.38,0,0,0,0,0,0,12,7,127,1,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,RB,Ronald Jones II,13,23.8,7.42,0,0,0,23,192,1,2,1,6,0,0,0,1,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,RB,Devin Singletary,11,1.0,6.89,0,0,0,4,15,0,3,1,-5,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,TE,Jason Witten,6,0.0,1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,BN,Austin Hooper,9,1.1,6.37,0,0,0,0,0,0,2,1,11,0,0,0,0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BN,Cooper Kupp,9,5.0,10.6,0,0,0,0,0,0,7,5,50,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BN,Kenyan Drake,8,8.9,6.77,0,0,0,16,100,0,1,1,9,0,0,0,1,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,BN,Baker Mayfield,9,5.38,19.12,132,0,0,3,1,0,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BN,Jared Cook,6,0.0,6.62,0,0,0,0,0,0,2,0,0,0,0,0,0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,BN,Boston Scott,9,13.4,3.55,0,0,0,3,63,1,1,1,11,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,BN,James White,5,0.8,4.87,0,0,0,0,0,0,2,2,8,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
