Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Teddy Bridgewater,W (Dec 23),1,13,23.04,46%,16,13,136,2,1,3,16,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Tua Tagovailoa,W (Dec 23),1,7,18.66,45%,24,21,169,2,0,6,-1,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smith,W (Dec 23),1,8,16.00,5%,29,40,390,0,0,2,4,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Burrow,W (Dec 23),1,9,14.52,73%,15,47,213,1,0,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Mullens,W (Dec 23),1,11,12.18,5%,27,61,247,1,2,1,3,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Luton,W (Dec 23),1,8,10.76,4%,32,75,169,1,1,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jared Goff,W (Dec 23),1,9,10.48,80%,14,78,302,0,0,5,4,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Lock,W (Dec 23),1,5,8.98,23%,19,96,257,1,4,2,7,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacoby Brissett,W (Dec 23),1,7,6.20,0%,600,125,0,0,0,1,2,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,W (Dec 23),1,11,2.44,11%,21,218,106,0,1,1,2,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jameis Winston,W (Dec 23),1,6,2.32,1%,1038,222,63,0,0,4,-2,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Bray,W (Dec 23),1,11,0.72,0%,813,281,18,0,0,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
