,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Unnamed: 22_level_1,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Unnamed: 14_level_1,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick,Unnamed: 15_level_1,Unnamed: 20_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
0,QB,Deshaun Watson,8,24.90,25.89,300,2,0,5,9,0,0,0,0,0,0,0,0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
1,WR,Odell Beckham Jr.,9,33.40,10.64,0,0,0,2,73,1,8,5,81,2,0,0,0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
2,WR,Jarvis Landry,9,12.28,8.41,37,1,0,0,0,0,6,5,48,0,0,0,0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
3,WR,DeVante Parker,11,11.00,10.66,0,0,0,0,0,0,12,10,110,0,0,0,0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
4,RB,Alvin Kamara,6,17.90,16.64,0,0,0,19,83,1,4,3,36,0,0,0,0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
5,RB,Darrell Henderson Jr.,9,3.80,12.39,0,0,0,8,22,0,1,1,16,0,0,0,0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
6,TE,Mike Gesicki,11,1.50,7.18,0,0,0,0,0,0,3,1,15,0,0,0,0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
7,BN,James Conner,4,Bye,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
8,BN,Ryan Tannehill,4,Bye,Bye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
9,BN,John Brown,11,4.20,9.10,0,0,0,0,0,0,5,4,42,0,0,0,0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
10,BN,Jordan Howard,11,-0.10,4.55,0,0,0,2,2,0,1,1,-3,0,0,0,0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
11,BN,Tyler Eifert,7,2.20,4.86,0,0,0,0,0,0,6,2,22,0,0,0,0,0.0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
12,BN,Tony Pollard,10,9.20,3.37,0,0,0,3,16,1,2,1,16,0,0,0,0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
13,BN,Justin Herbert,10,29.00,16.42,290,3,1,5,14,0,0,0,0,0,0,0,0,0.0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
14,K,Harrison Butker,10,8.0,10.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,K,3,Ryan Cunningham,0,1,1,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
15,DEF,Los Angeles,9,11.0,9.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEF,3,Ryan Cunningham,0,0,0,0,0,0,0.0,9,5,0,1,0,0,0,0.0,0.0,0.0,0.0
16,QB,Lamar Jackson,7,29.02,29.26,193,2,1,7,53,1,0,0,0,0,0,0,0,0.0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
17,WR,Cooper Kupp,9,12.7,11.13,0,0,0,1,-2,0,7,5,69,1,0,0,0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
18,WR,DeAndre Hopkins,8,4.1,13.14,0,0,0,0,0,0,9,7,41,0,0,0,0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
19,WR,Marvin Jones Jr.,5,0.9,9.0,0,0,0,0,0,0,2,1,9,0,0,0,0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
20,RB,Kenyan Drake,8,3.5,13.67,0,0,0,13,35,0,0,0,0,0,0,0,0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
21,RB,Devin Singletary,11,13.6,10.16,0,0,0,18,55,1,6,5,21,0,0,0,0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
22,TE,Austin Hooper,9,9.4,5.92,0,0,0,0,0,0,7,5,34,1,0,0,0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
23,BN,Jared Cook,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
24,BN,Mike Williams,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
25,BN,Ronald Jones II,13,12.8,11.95,0,0,0,20,111,0,9,6,17,0,0,0,0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
26,BN,Breshad Perriman,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
27,BN,Baker Mayfield,9,19.2,20.92,165,2,0,3,6,0,0,0,0,0,0,0,0,0.0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
28,BN,Boston Scott,9,0.1,4.88,0,0,0,2,1,0,0,0,0,0,0,0,0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
29,BN,James White,6,5.9,6.13,0,0,0,3,21,0,8,7,38,0,0,0,0,0.0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
30,K,Robbie Gould,11,2.0,9.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,K,8,Nicholas Saunders,0,0,0,0,0,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
31,DEF,Buffalo,11,6.0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEF,8,Nicholas Saunders,0,0,0,0,0,0,0.0,23,2,0,0,2,0,0,0.0,0.0,0.0,0.0
32,QB,Dak Prescott,10,45.28,28.89,502,4,1,2,12,0,0,0,0,0,0,2,1,0.0,QB,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
33,WR,Will Fuller V,8,16.8,9.61,0,0,0,0,0,0,7,6,108,1,0,0,0,0.0,WR,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
34,WR,A.J. Green,9,0.3,8.97,0,0,0,0,0,0,5,1,3,0,0,0,0,0.0,WR,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
35,WR,Curtis Samuel,13,4.8,6.12,0,0,0,2,-3,0,4,3,51,0,0,0,0,0.0,WR,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
36,RB,Nick Chubb,9,4.3,13.77,0,0,0,6,43,0,0,0,0,0,0,0,0,0.0,RB,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
37,RB,Jonathan Taylor,7,7.9,13.6,0,0,0,17,68,0,1,1,11,0,0,0,0,0.0,RB,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
38,TE,Mark Andrews,7,17.7,9.65,0,0,0,0,0,0,3,3,57,2,0,0,0,0.0,TE,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
39,BN,Davante Adams,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
40,BN,Cam Akers,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
41,BN,Matt Breida,11,4.8,3.21,0,0,0,3,9,0,3,3,39,0,0,0,0,0.0,RB,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
42,BN,Sterling Shepard,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
43,BN,Kirk Cousins,7,16.9,21.15,260,1,0,4,5,0,0,0,0,0,0,0,0,0.0,QB,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
44,BN,Christian Kirk,8,7.9,6.24,0,0,0,0,0,0,5,3,19,1,0,0,0,0.0,WR,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
45,BN,Dallas Goedert,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,4,David,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
46,K,Ka'imi Fairbairn,8,13.0,8.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,K,4,David,0,2,0,0,1,2,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
47,DEF,Arizona,8,1.0,6.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEF,4,David,0,0,0,0,0,0,0.0,31,0,0,1,0,0,0,0.0,0.0,0.0,0.0
48,QB,Matt Ryan,10,12.4,22.45,285,0,0,2,10,0,0,0,0,0,0,0,0,0.0,QB,5,Ken,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
49,WR,DK Metcalf,6,10.6,12.47,0,0,0,0,0,0,6,4,106,0,0,0,0,0.0,WR,5,Ken,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
50,WR,Michael Gallup,10,2.9,9.7,0,0,0,0,0,0,5,2,29,0,0,0,0,0.0,WR,5,Ken,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
51,WR,Tyler Boyd,9,9.4,9.8,0,0,0,1,4,0,8,7,90,0,0,0,0,0.0,WR,5,Ken,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0
