,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8,22.82,25.12,253,1,1,6,27,1,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WR,Odell Beckham Jr.,9,2.2,10.28,0,0,0,0,0,0,10,3,22,0,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WR,Jarvis Landry,9,6.1,8.1,0,0,0,0,0,0,6,5,61,0,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WR,John Brown,11,13.0,8.62,0,0,0,0,0,0,10,6,70,1,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RB,Alvin Kamara,6,18.7,16.1,0,0,0,12,16,1,8,5,51,1,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RB,James Conner,4,1.7,13.61,0,0,0,6,9,0,4,2,8,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Mike Gesicki,7,3.0,6.05,0,0,0,0,0,0,5,3,30,0,0,0,0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BN,DeVante Parker,7,4.7,9.41,0,0,0,0,0,0,4,4,47,0,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BN,Jordan Howard,9,6.7,7.84,0,0,0,8,7,1,0,0,0,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BN,Ryan Tannehill,4,23.36,21.16,249,2,0,3,14,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BN,Darrell Henderson Jr.,9,0.6,4.96,0,0,0,3,6,0,0,0,0,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BN,Tyler Eifert,8,0.8,6.37,0,0,0,0,0,0,1,1,8,0,0,0,0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BN,Michael Pittman Jr.,7,1.0,5.48,0,0,0,0,0,0,2,2,10,0,0,0,0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BN,Tony Pollard,10,3.2,4.7,0,0,0,2,10,0,3,2,22,0,0,0,0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,K,Harrison Butker,10,10.0,10.56,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,DEF,Kansas City,10,7.0,7.86,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,20.0,4.0,0.0,1.0,0.0,0.0,0.0
16,QB,Lamar Jackson,7,33.5,28.57,275,3,0,7,45,0,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,WR,DeAndre Hopkins,8,15.1,10.7,0,0,0,0,0,0,16,14,151,0,0,0,0,WR,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,WR,Cooper Kupp,9,4.0,9.85,0,0,0,0,0,0,5,4,40,0,0,0,0,WR,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,WR,Marvin Jones Jr.,5,5.5,10.03,0,0,0,0,0,0,8,4,55,0,0,0,0,WR,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
