,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Unnamed: 22_level_1,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Unnamed: 14_level_1,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick,Unnamed: 15_level_1,Unnamed: 20_level_1,Unnamed: 12_level_1,Unnamed: 13_level_1
0,QB,Deshaun Watson,8,16.7,23.78,275,1,1,5,17,0,0,0,0,0,0,0,0,0.0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WR,Odell Beckham Jr.,9,13.4,9.98,0,0,0,0,0,0,6,4,74,1,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WR,Jarvis Landry,9,4.6,8.81,0,0,0,0,0,0,3,3,46,0,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WR,John Brown,11,14.2,8.63,0,0,0,0,0,0,6,4,82,1,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RB,Alvin Kamara,6,29.4,15.47,0,0,0,13,79,2,9,9,95,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RB,James Conner,8,18.1,11.62,0,0,0,16,106,1,2,2,15,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Mike Gesicki,11,19.0,6.04,0,0,0,0,0,0,11,8,130,1,0,0,0,0.0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BN,DeVante Parker,11,11.3,8.46,0,0,0,0,0,0,8,5,53,1,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BN,Jordan Howard,11,6.4,5.87,0,0,0,5,4,1,0,0,0,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BN,Ryan Tannehill,7,34.76,21.32,239,4,0,4,12,0,0,0,0,0,0,0,0,0.0,QB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BN,Darrell Henderson Jr.,9,18.1,3.57,0,0,0,12,81,1,3,2,40,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BN,Tyler Eifert,7,9.6,4.67,0,0,0,0,0,0,6,3,36,1,0,0,0,0.0,TE,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BN,Michael Pittman Jr.,7,3.7,2.44,0,0,0,0,0,0,6,4,37,0,0,0,0,0.0,WR,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BN,Tony Pollard,10,0.9,4.39,0,0,0,2,6,0,1,1,3,0,0,0,0,0.0,RB,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,K,Harrison Butker,10,13.0,9.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,K,3,Ryan Cunningham,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,DEF,Kansas City,10,5.0,6.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,DEF,3,Ryan Cunningham,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,QB,Lamar Jackson,8,19.56,29.12,204,1,0,16,54,0,0,0,0,0,0,0,0,0.0,QB,8,Nicholas Saunders,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
