Name,Roster Status,GP*,Bye,Fan Pts,Trends % Rostered,Rankings Proj,Rankings Actual,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,Field Goals Made 0-19,Field Goals Made 20-29,Field Goals Made 30-39,Field Goals Made 40-49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
Teddy Bridgewater,W (Oct 15),1,13,24.82,52%,13,13,313,2,0,3,3,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Flacco,W (Oct 15),1,10,15.80,2%,30,42,195,1,0,4,20,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Nick Foles,W (Oct 15),1,11,13.62,11%,28,57,243,1,1,1,-1,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Allen,W (Oct 15),1,8,9.66,3%,29,95,74,0,0,1,7,1,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
C.J. Beathard,W (Oct 15),1,11,7.76,0%,679,124,94,1,0,0,0,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Taysom Hill,W (Oct 15),1,6,7.30,1%,242,126,0,0,0,3,13,1,2,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Philip Rivers,W (Oct 15),1,7,5.62,20%,22,158,243,0,2,1,-1,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Andy Dalton,W (Oct 15),1,10,2.44,0%,432,221,111,0,0,1,0,0,0,0,0,0,0,0,1,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Smith,W (Oct 15),1,8,1.58,0%,875,248,37,0,0,1,1,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Matt Barkley,W (Oct 15),1,11,0.88,0%,752,271,22,0,0,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jalen Hurts,W (Oct 15),1,9,0.72,1%,1093,275,18,0,0,0,0,0,0,0,0,0,0,0,0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Drew Anderson,W (Oct 15),0.0,8,0.00,0%,951,931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Brett Rypien,W (Oct 15),0.0,5,–,1%,963,943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
David Blough,W (Oct 15),0.0,5,–,0%,975,955,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kevin Davidson,W (Oct 15),0.0,9,0.00,0%,560,518,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Manny Wilkins,W (Oct 15),0.0,5,–,0%,978,959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Browning,W (Oct 15),0.0,7,0.00,0%,943,923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jake Dolegala,W (Oct 15),0.0,5,–,0%,1019,1004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Devlin Hodges,W (Oct 15),0.0,4,0.00,0%,1061,1047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Jordan Ta'amu,W (Oct 15),0.0,10,0.00,0%,1074,1060,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
Kyle Shurmur,W (Oct 15),0.0,10,0.00,0%,1003,985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,QB,0,0,0,0,0,0,0,0,0,0,0,0,0
