,Lineup-Pos,Name,Bye,Fan Pts,Proj Pts,Passing Yds,Passing TD,Passing Int,Rushing Att*,Rushing Yds,Rushing TD,Receiving Tgt*,Receiving Rec*,Receiving Yds,Receiving TD,Ret TD,Misc 2PT,Fum Lost,Pos,owner-id,owner,Field Goals Made 0‑19,Field Goals Made 20‑29,Field Goals Made 30‑39,Field Goals Made 40‑49,Field Goals Made 50+,PAT Made,Pts vs.*,Tackles Sack,Tackles Safe,Turnovers Int,Turnovers Fum Rec,TD TD,Misc Blk Kick
0,QB,Deshaun Watson,8,18.56,24.58,219,1,0,7,38,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,WR,Jarvis Landry,9,5.68,8.63,12,0,0,0,0,0,9,6,52,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,WR,Cole Beasley,11,4.1,7.56,0,0,0,0,0,0,10,5,41,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,WR,Michael Pittman Jr.,7,4.5,7.04,0,0,0,1,3,0,5,2,42,0,0,0,0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,RB,Alvin Kamara,6,15.4,13.51,0,0,0,11,50,1,10,7,44,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,RB,James Conner,4,1.8,11.29,0,0,0,10,18,0,0,0,0,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,TE,Mike Gesicki,7,18.5,5.59,0,0,0,0,0,0,6,5,65,2,0,0,0,TE,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,BN,Brandin Cooks,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,BN,Darrell Henderson Jr.,9,0.5,6.18,0,0,0,2,5,0,0,0,0,0,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,BN,Justin Herbert,6,19.72,25.18,243,2,1,0,0,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,BN,John Brown,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,BN,Ryan Tannehill,4,20.48,22.97,212,2,0,0,0,0,0,0,0,0,0,0,0,QB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,BN,Jordan Howard,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,BN,Tony Pollard,10,10.8,5.44,0,0,0,11,39,0,2,2,9,1,0,0,0,RB,3,Ryan Cunningham,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,K,Mason Crosby,5,9.0,8.4,0,0,0,0,0,0,0,0,0,0,0,0,0,K,3,Ryan Cunningham,0,0,0,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,DEF,Seattle,6,12.0,9.02,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,3,Ryan Cunningham,0,0,0,0,0,0,3.0,3.0,0.0,0.0,1.0,0.0,0.0
16,QB,Lamar Jackson,7,36.92,24.06,163,1,0,9,124,2,0,0,0,0,0,0,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,WR,Marvin Jones Jr.,5,4.8,8.5,0,0,0,0,0,0,8,4,48,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,WR,Cooper Kupp,9,9.3,9.89,0,0,0,0,0,0,5,5,33,1,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,WR,DeAndre Hopkins,8,13.6,12.02,0,0,0,0,0,0,11,9,136,0,0,0,0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,RB,Kenyan Drake,8,15.0,10.85,0,0,0,23,80,1,1,1,10,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,RB,Devin Singletary,11,3.4,7.89,0,0,0,7,32,0,1,1,2,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,TE,Austin Hooper,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,BN,Ronald Jones II,13,14.4,11.35,0,0,0,18,80,1,2,1,4,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,BN,Baker Mayfield,9,34.02,18.8,343,2,1,5,23,1,0,0,0,0,0,1,0,QB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,BN,Mike Williams,6,0.0,8.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,WR,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,BN,Jason Witten,6,0.0,1.57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,BN,Jared Cook,6,9.7,4.43,0,0,0,0,0,0,4,3,37,1,0,0,0,TE,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,BN,Boston Scott,9,1.7,3.44,0,0,0,3,6,0,1,1,11,0,0,0,0,RB,8,Nicholas Saunders,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,K,Michael Badgley,6,9.0,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,K,8,Nicholas Saunders,0,0,1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,DEF,Buffalo,11,12.0,6.21,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,8,Nicholas Saunders,0,0,0,0,0,0,15.0,1.0,0.0,2.0,0.0,1.0,0.0
31,BN,Cleveland,9,4.0,6.18,0,0,0,0,0,0,0,0,0,0,0,0,0,DEF,8,Nicholas Saunders,0,0,0,0,0,0,45.0,4.0,0.0,0.0,0.0,0.0,1.0
32,QB,Cam Newton,5,4.36,20.41,119,0,1,7,16,0,0,0,0,0,0,0,0,QB,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,WR,Davante Adams,5,17.5,15.74,0,0,0,0,0,0,10,7,115,1,0,0,0,WR,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,WR,Christian Kirk,8,1.4,6.75,0,0,0,0,0,0,4,3,14,0,0,0,0,WR,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,WR,Sterling Shepard,11,3.5,7.37,0,0,0,0,0,0,5,3,35,0,0,0,0,WR,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,RB,Nick Chubb,9,22.3,13.67,0,0,0,17,82,2,2,2,21,0,0,0,0,RB,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,RB,Jonathan Taylor,7,28.5,13.14,0,0,0,20,150,2,2,2,15,0,0,0,0,RB,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,TE,Mark Andrews,7,7.8,7.81,0,0,0,0,0,0,6,5,78,0,0,0,0,TE,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,BN,Dallas Goedert,9,4.3,5.87,0,0,0,0,0,0,6,4,43,0,0,0,0,TE,4,David,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
